Name,Gender,Race,Status,s_01,e_01,p_01,s_02,e_02,p_02,s_03,e_03,p_03,s_04,e_04,p_04,s_05,e_05,p_05,s_06,e_06,p_06
Cindy Montanez,Female,Latino,,2002,2005,Assembly District 39,,,,,,,,,,,,,,,
Norma Torres,Female,Latino,Active,2008,2011,Assembly District 61,2012,2012,Assembly District 52,2013,2013,Senate District 32,2014,2016,US District 35,,,,,,
Tony Mendoza,Male,Latino,Active,2006,2011,Assembly District 56,2014,2016,Senate District 32,,,,,,,,,,,,
Mike Hernandez,Male,Latino,,1991,2000,LA District 01,,,,,,,,,,,,,,,
Leticia Quezada,Female,Latino,Inactive,1985,1986,LACCD 7,1987,1994,LAUSD D 5,,,,,,,,,,,,
Jimmy Gomez,Male,Latino,Active,2012,2016,Assembly District 51,,,,,,,,,,,,,,,
Richard Polanco,Male,Latino,Inactive,1986,1991,Assembly District 55,1992,1993,Assembly District 45,1994,2001,Senate District 22,,,,,,,,,
Rudy Bermudez,Male,Latino,,2002,2005,Assembly District 56,,,,,,,,,,,,,,,
Ian Calderon,Male,Latino,Active,2012,2016,Assembly District 57,,,,,,,,,,,,,,,
Julian Nava,Male,Latino,,1967,1978,LAUSD AL 3,,,,,,,,,,,,,,,
Gloria Negrete McLeod,Female,Latino,Inactive,2000,2005,Assembly District 61,2006,2012,Senate District 32,2012,2013,US District 35,,,,,,,,,
John Moreno ,Male,Latino,,1962,1963,Assembly District 51,,,,,,,,,,,,,,,
Roger Hernandez,Male,Latino,ELECTION,2010,2011,Assembly District 57,2012,2016,Assembly District 48,,,,,,,,,,,,
Anthony Rendon,Male,Latino,Active,2012,2016,Assembly District 63,,,,,,,,,,,,,,,
Sally Havice,Female,Latino,,1996,2001,Assembly District 56,,,,,,,,,,,,,,,
Raul Bocanegra,Male,Latino,Inactive,2012,2013,Assembly District 39,,,,,,,,,,,,,,,
Ronald Calderon,Male,Latino,Inactive,2002,2005,Assembly District 58,2006,2013,Senate District 30,,,,,,,,,,,,
John Noguez,Male,Latino,,2010,2013,Assessor,,,,,,,,,,,,,,,
Ed Chavez,Male,Latino,,2000,2005,Assembly District 57,,,,,,,,,,,,,,,
Steve Veres,Male,Latino,,2010,2014,LACCD 3,,,,,,,,,,,,,,,
Martin Gallegos,Male,Latino,,1994,1999,Assembly District 57,,,,,,,,,,,,,,,
Ruben Ayala,Male,Latino,,1974,1997,Senate District 32,,,,,,,,,,,,,,,
